"SURVEY_ID","CUSTOMER_ID","PRODUCT_ID","SURVEY_DATE","SURVEY_CHANNEL","SURVEY_VERSION","COMPLETION_STATUS","CUSTOMER_AGE_RANGE","CUSTOMER_GENDER","CUSTOMER_LOCATION","CUSTOMER_SEGMENT","PRODUCT_NAME","PRODUCT_CATEGORY","PRODUCT_SUBCATEGORY","PRODUCT_PRICE","PURCHASE_DATE","OVERALL_SATISFACTION","PRODUCT_QUALITY_RATING","VALUE_FOR_MONEY_RATING","DELIVERY_RATING","CUSTOMER_SERVICE_RATING","EASE_OF_USE_RATING","NPS_SCORE","WOULD_RECOMMEND","WOULD_PURCHASE_AGAIN","MEETS_EXPECTATIONS","REVIEW_TEXT","POSITIVE_FEEDBACK","NEGATIVE_FEEDBACK","IMPROVEMENT_SUGGESTIONS","ADDITIONAL_COMMENTS","TIME_TO_COMPLETE_SECONDS","SURVEY_SOURCE"
"SUR0025","CUST0025","PROD025","2024-09-10 14:15:00","mobile","v2.1","completed","18-24","Female","New Orleans, LA","at_risk","Hotty Hot High-Rise Short 4""","Women's Bottoms","Shorts",68.0,"2024-09-08",4.0,3.0,3.0,3.0,4.0,5.0,10.0,True,True,True,"These exceeded my expectations! flattering design and great value.","Exceeded all expectations","","More seasonal colors","",576,"app_notification"
"SUR0026","CUST0026","PROD026","2024-08-06 21:58:00","sms","v2.1","partial","45-54","Female","Arlington, TX","at_risk","Fundamental T-Shirt","Men's Tops","Shirts",58.0,"2024-07-10",4.0,"",4.0,4.0,"",4.0,5.0,True,True,True,"Perfect for errands! supportive design and fits perfectly.","Perfect fit and feel","","","",82,"email_campaign"
"SUR0027","CUST0027","PROD027","2024-06-18 16:29:00","web","v2.1","abandoned","18-24","Female","Oklahoma City, OK","at_risk","Swiftly Tech Long Sleeve 2.0","Women's Tops","Shirts",88.0,"2024-06-02","","","","","","","","","","","","","","","",32,"app_notification"
"SUR0028","CUST0028","PROD028","2024-06-01 20:24:00","sms","v2.1","completed","55-64","Non-binary","Arlington, TX","returning","Swiftly Tech Long Sleeve 2.0","Women's Tops","Shirts",88.0,"2024-05-18",4.0,4.0,3.0,5.0,5.0,4.0,7.0,True,True,True,"Perfect for hiking! amazing quality and fits perfectly.","Incredible fabric quality and fit","","Consider adding pockets","",87,"website_popup"
"SUR0029","CUST0029","PROD029","2024-02-12 18:27:00","sms","v2.1","partial","45-54","Female","Houston, TX","vip","Hotty Hot Short 2.5""","Women's Bottoms","Shorts",68.0,"2024-01-28",3.0,"",2.0,2.0,"",4.0,"","",False,True,"They're comfortable but could use more colors.","","","","",55,"email_campaign"
"SUR0030","CUST0030","PROD030","2024-01-11 17:09:00","mobile","v2.1","partial","25-34","Male","Virginia Beach, VA","new","ABC Classic-Fit 5 Pocket Pant 32""","Men's Bottoms","Pants",138.0,"2023-12-17",3.0,4.0,"",2.0,"","",0.0,"",False,"","They're okay but sizing runs a bit small.","","","","",110,"website_popup"
"SUR0031","CUST0031","PROD031","2024-05-04 09:44:00","web","v2.1","partial","35-44","Non-binary","Long Beach, CA","new","Flow Y Bra","Women's Intimates","Sports Bras",52.0,"2024-04-12",3.0,3.0,2.0,"","",3.0,"","","",True,"Functional but could use better instructions.","","","","",98,"app_notification"
"SUR0032","CUST0032","PROD032","2024-09-04 15:27:00","web","v2.1","partial","55-64","Male","Boston, MA","returning","Reversible Mat 5mm","Accessories","Yoga Equipment",88.0,"2024-08-27",5.0,5.0,3.0,5.0,"",4.0,4.0,True,"","","Love the great stretch! Perfect for yoga.","Perfect fit and feel","","","",92,"app_notification"
"SUR0033","CUST0033","PROD033","2024-10-11 20:15:00","sms","v2.1","completed","45-54","Non-binary","Minneapolis, MN","at_risk","City Excursion Hoodie","Men's Outerwear","Hoodies",148.0,"2024-10-01",3.0,4.0,1.0,3.0,4.0,4.0,6.0,False,False,True,"Nice outerwear but straps could be wider.","","Quality control issues","Softer fabric blend","",398,"post_purchase"
"SUR0034","CUST0034","PROD034","2024-06-29 19:29:00","mobile","v2.1","partial","35-44","Male","Charlotte, NC","new","Commission Pant Classic 32""","Men's Bottoms","Pants",138.0,"2024-06-05",4.0,"",2.0,4.0,"","","",True,True,True,"Best bottom ever! perfect fit and so comfortable.","","","","",120,"post_purchase"
"SUR0035","CUST0035","PROD035","2024-09-30 10:17:00","sms","v2.1","completed","18-24","Non-binary","Denver, CO","returning","Wunder Train High-Rise Tight 25""","Women's Bottoms","Leggings",98.0,"2024-09-11",3.0,3.0,2.0,3.0,2.0,2.0,6.0,False,False,True,"Good quality but sizing runs a bit small.","","Uncomfortable fabric","More size options","Expected better quality",215,"post_purchase"
"SUR0036","CUST0036","PROD036","2024-03-17 20:36:00","mobile","v2.1","abandoned","18-24","Female","San Diego, CA","at_risk","Pace Breaker Short 7""","Men's Bottoms","Shorts",68.0,"2024-03-02","","","","","","","","","","","","","","","",29,"app_notification"
"SUR0037","CUST0037","PROD037","2024-10-28 14:19:00","mobile","v2.1","abandoned","55-64","Female","Colorado Springs, CO","new","Drysense Tank","Men's Tops","Tank Tops",58.0,"2024-10-19","","","","","","","","","","","","","","","",20,"email_campaign"
"SUR0038","CUST0038","PROD038","2024-05-02 10:35:00","sms","v2.1","partial","25-34","Female","Oklahoma City, OK","at_risk","Fast and Free High-Rise Tight 25""","Women's Bottoms","Leggings",128.0,"2024-04-24",3.0,3.0,1.0,"","","","","","",True,"Decent for travel but fabric could be thicker.","","","","",39,"post_purchase"
"SUR0039","CUST0039","PROD039","2024-01-31 10:50:00","sms","v2.1","completed","55-64","Non-binary","Kansas City, MO","vip","Pace Breaker Short 7""","Men's Bottoms","Shorts",68.0,"2024-01-08",3.0,3.0,2.0,4.0,4.0,3.0,7.0,False,False,True,"Good basic bottom but could use more colors.","","Uncomfortable fabric","Better quality control","",86,"app_notification"
"SUR0040","CUST0040","PROD040","2024-02-16 11:43:00","web","v2.1","completed","55-64","Female","Tampa, FL","vip","Drysense Tank","Men's Tops","Tank Tops",58.0,"2024-01-30",4.0,4.0,2.0,5.0,4.0,5.0,9.0,True,True,True,"Amazing fit! flattering design and I've already ordered more.","Perfect fit and feel","","Maybe a softer fabric version","",167,"app_notification"
"SUR0041","CUST0041","PROD041","2024-03-23 13:26:00","web","v2.1","partial","45-54","Male","Virginia Beach, VA","at_risk","City Excursion Hoodie","Men's Outerwear","Hoodies",148.0,"2024-03-12",3.0,3.0,"","","",4.0,"",False,False,True,"They're comfortable but could be more fitted.","","","","",46,"post_purchase"
"SUR0042","CUST0042","PROD042","2024-05-27 15:56:00","mobile","v2.1","partial","45-54","Female","Los Angeles, CA","returning","City Excursion Hoodie","Men's Outerwear","Hoodies",148.0,"2024-05-09",4.0,3.0,2.0,3.0,"",5.0,4.0,True,True,True,"These are perfect! great stretch and great for workouts.","","","","",95,"post_purchase"
"SUR0043","CUST0043","PROD043","2024-03-10 21:04:00","web","v2.1","partial","45-54","Male","Tucson, AZ","vip","Commission Pant Classic 32""","Men's Bottoms","Pants",138.0,"2024-02-12",4.0,"",2.0,4.0,"",5.0,"",True,"","","","Perfect fit and feel","","","",59,"website_popup"
"SUR0044","CUST0044","PROD044","2024-07-29 08:20:00","mobile","v2.1","partial","45-54","Non-binary","Portland, OR","at_risk","Like a Cloud Bra","Women's Intimates","Sports Bras",68.0,"2024-07-24",4.0,3.0,"",5.0,"","",2.0,True,"",True,"Best intimate ever! amazing quality and so comfortable.","","","","",113,"post_purchase"
"SUR0045","CUST0045","PROD045","2024-02-11 21:21:00","web","v2.1","abandoned","55-64","Male","Boston, MA","at_risk","At Ease Hoodie","Men's Outerwear","Hoodies",128.0,"2024-02-03","","","","","","","","","","","","","","","",28,"post_purchase"
"SUR0046","CUST0046","PROD046","2024-04-26 19:05:00","sms","v2.1","completed","18-24","Non-binary","Minneapolis, MN","new","All Yours Tee","Women's Tops","Shirts",68.0,"2024-03-28",1.0,1.0,1.0,1.0,1.0,1.0,3.0,False,False,False,"Overpriced for what you get. loses shape after washing.","","Uncomfortable fabric","Improve durability","",244,"website_popup"
"SUR0047","CUST0047","PROD047","2024-03-28 10:05:00","sms","v2.1","abandoned","45-54","Non-binary","Omaha, NE","returning","Perfectly Oversized Crew","Women's Outerwear","Sweatshirts",118.0,"2024-03-20","","","","","","","","","","","","","","","",26,"email_campaign"
"SUR0048","CUST0048","PROD048","2024-08-23 12:42:00","web","v2.1","partial","45-54","Male","Omaha, NE","returning","Align High-Rise Pant 25""","Women's Bottoms","Leggings",128.0,"2024-08-04",3.0,"","",3.0,"",3.0,"",False,False,True,"Functional but could use more colors.","","","","",114,"website_popup"
"SUR0049","CUST0049","PROD049","2024-07-21 12:00:00","email","v2.1","completed","18-24","Non-binary","Arlington, TX","at_risk","Drysense Tank","Men's Tops","Tank Tops",58.0,"2024-07-13",4.0,5.0,3.0,5.0,5.0,5.0,7.0,True,True,True,"Love these! Great quality and perfect length.","Incredible fabric quality and fit","","Maybe a softer fabric version","",94,"website_popup"
"SUR0050","CUST0050","PROD050","2024-10-23 13:46:00","mobile","v2.1","completed","18-24","Male","Boston, MA","at_risk","Hotty Hot Short 2.5""","Women's Bottoms","Shorts",68.0,"2024-09-27",4.0,4.0,4.0,5.0,4.0,3.0,8.0,True,True,True,"Incredible quality! supportive design and worth every penny.","Outstanding quality as always","","More color options would be great","",137,"email_campaign"
"SUR0051","CUST0051","PROD001","2024-03-13 20:14:00","sms","v2.1","completed","45-54","Non-binary","Nashville, TN","new","At Ease Hoodie","Men's Outerwear","Hoodies",128.0,"2024-02-24",2.0,2.0,2.0,3.0,3.0,2.0,6.0,False,False,False,"Quality issues. poor fit and poor construction.","","Sizing is inconsistent","More size options","Poor value",395,"website_popup"
"SUR0052","CUST0052","PROD002","2024-11-08 11:41:00","web","v2.1","completed","45-54","Non-binary","Washington, DC","at_risk","Fast and Free High-Rise Tight 25""","Women's Bottoms","Leggings",128.0,"2024-11-06",3.0,3.0,1.0,2.0,2.0,4.0,5.0,False,False,True,"They work well but could use pockets.","","Uncomfortable fabric","Improve durability","",218,"post_purchase"
"SUR0053","CUST0053","PROD003","2024-07-31 18:06:00","email","v2.1","completed","55-64","Male","Seattle, WA","new","Cates Tee","Women's Tops","Shirts",68.0,"2024-07-16",5.0,5.0,3.0,5.0,5.0,5.0,9.0,True,True,True,"These are perfect! moisture-wicking technology and great for yoga.","Excellent construction and durability","","","",525,"app_notification"
"SUR0054","CUST0054","PROD004","2024-02-16 18:13:00","mobile","v2.1","completed","55-64","Female","Houston, TX","vip","Wunder Puff Jacket","Women's Outerwear","Jackets",248.0,"2024-02-13",5.0,5.0,3.0,5.0,4.0,4.0,9.0,True,True,True,"These exceeded my expectations! buttery soft fabric and great value.","Great design and functionality","","","",208,"email_campaign"
"SUR0055","CUST0055","PROD005","2024-03-07 16:16:00","mobile","v2.1","completed","25-34","Female","Virginia Beach, VA","new","City Adventurer Backpack 17L","Accessories","Bags",148.0,"2024-02-10",5.0,5.0,4.0,4.0,4.0,5.0,7.0,True,True,True,"These are perfect! breathable fabric and great for workouts.","Amazing comfort and style","","","",547,"website_popup"
"SUR0056","CUST0056","PROD006","2024-08-17 20:23:00","web","v2.1","abandoned","55-64","Female","Louisville, KY","returning","Metal Vent Tech Short Sleeve","Men's Tops","Shirts",78.0,"2024-08-02","","","","","","","","","","","","","","","",11,"website_popup"
"SUR0057","CUST0057","PROD007","2024-02-01 15:54:00","sms","v2.1","completed","45-54","Non-binary","San Antonio, TX","at_risk","Swiftly Tech Short Sleeve 2.0","Women's Tops","Shirts",68.0,"2024-01-21",4.0,3.0,2.0,4.0,5.0,5.0,10.0,True,True,True,"Best top ever! durable construction and so comfortable.","Great design and functionality","","Consider adding pockets","",500,"post_purchase"
"SUR0058","CUST0058","PROD008","2024-02-20 20:44:00","sms","v2.1","completed","55-64","Non-binary","Columbus, OH","at_risk","Align Ribbed High-Rise Pant 25""","Women's Bottoms","Leggings",138.0,"2024-02-09",5.0,5.0,4.0,5.0,4.0,5.0,10.0,True,True,True,"Incredible quality! flattering design and worth every penny.","Perfect for active lifestyle","","","",545,"app_notification"
"SUR0059","CUST0059","PROD009","2024-02-04 09:53:00","mobile","v2.1","abandoned","18-24","Male","San Antonio, TX","vip","Invigorate High-Rise Tight 25""","Women's Bottoms","Leggings",118.0,"2024-01-16","","","","","","","","","","","","","","","",45,"post_purchase"
"SUR0060","CUST0060","PROD010","2024-06-17 18:07:00","web","v2.1","partial","35-44","Non-binary","Tampa, FL","at_risk","Swiftly Tech Long Sleeve 2.0","Women's Tops","Shirts",88.0,"2024-06-05",2.0,1.0,"",1.0,"",3.0,4.0,False,"","","","","","","",108,"website_popup"
"SUR0061","CUST0061","PROD011","2024-12-11 18:35:00","web","v2.1","completed","55-64","Non-binary","Oakland, CA","vip","Align High-Rise Pant 28""","Women's Bottoms","Leggings",128.0,"2024-11-18",5.0,5.0,4.0,4.0,4.0,4.0,10.0,True,True,True,"These are perfect! stays put during workouts and great for travel.","Perfect for active lifestyle","","","",91,"website_popup"
"SUR0062","CUST0062","PROD012","2024-02-16 19:33:00","mobile","v2.1","partial","45-54","Male","Baltimore, MD","vip","Softstreme High-Rise Pant","Women's Bottoms","Pants",128.0,"2024-01-23",3.0,"",1.0,4.0,"",2.0,10.0,False,"",True,"Good quality but could use pockets.","","","","",66,"website_popup"
"SUR0063","CUST0063","PROD013","2024-12-13 18:37:00","mobile","v2.1","partial","55-64","Non-binary","Washington, DC","new","Cates Tee","Women's Tops","Shirts",68.0,"2024-12-12",3.0,"","",3.0,"",2.0,"",False,False,True,"Good for casual outings but sizing runs a bit small.","","","","",35,"post_purchase"
"SUR0064","CUST0064","PROD014","2024-08-11 08:29:00","sms","v2.1","partial","35-44","Non-binary","Las Vegas, NV","at_risk","Fast and Free High-Rise Tight 25""","Women's Bottoms","Leggings",128.0,"2024-07-29",1.0,2.0,1.0,"","",1.0,9.0,False,False,"","Quality issues. scratchy fabric and poor construction.","","","","",95,"post_purchase"
"SUR0065","CUST0065","PROD015","2024-11-20 09:33:00","mobile","v2.1","completed","25-34","Male","Detroit, MI","returning","Metal Vent Tech Short Sleeve","Men's Tops","Shirts",78.0,"2024-11-11",2.0,3.0,1.0,3.0,1.0,1.0,5.0,False,False,False,"Not worth it. scratchy fabric and poor value.","","Doesn't meet expectations","Improve durability","",390,"email_campaign"
"SUR0066","CUST0066","PROD016","2024-11-17 13:09:00","email","v2.1","abandoned","18-24","Male","Louisville, KY","vip","Align Tank","Women's Tops","Tank Tops",58.0,"2024-11-05","","","","","","","","","","","","","","","",29,"post_purchase"
"SUR0067","CUST0067","PROD017","2024-08-24 15:02:00","sms","v2.1","partial","35-44","Male","Phoenix, AZ","new","Base Pace High-Rise Tight 25""","Women's Bottoms","Leggings",128.0,"2024-08-09",5.0,4.0,4.0,4.0,"",5.0,"",True,"",True,"Love the breathable fabric! Perfect for hiking.","","","","",76,"post_purchase"
"SUR0068","CUST0068","PROD018","2024-07-09 22:18:00","email","v2.1","completed","45-54","Male","Omaha, NE","new","City Excursion Short 11""","Men's Bottoms","Shorts",88.0,"2024-07-05",4.0,4.0,3.0,4.0,5.0,5.0,10.0,True,True,True,"Best bottom ever! stays put during workouts and so comfortable.","Perfect for active lifestyle","","Maybe a softer fabric version","",461,"website_popup"
"SUR0069","CUST0069","PROD019","2024-03-07 17:45:00","mobile","v2.1","abandoned","35-44","Non-binary","Portland, OR","vip","Invigorate High-Rise Tight 25""","Women's Bottoms","Leggings",118.0,"2024-02-15","","","","","","","","","","","","","","","",42,"post_purchase"
"SUR0070","CUST0070","PROD020","2024-07-04 08:23:00","mobile","v2.1","completed","25-34","Female","El Paso, TX","at_risk","Pace Breaker Short 7""","Men's Bottoms","Shorts",68.0,"2024-06-29",2.0,1.0,2.0,3.0,3.0,3.0,2.0,False,False,False,"Quality issues. scratchy fabric and poor construction.","","Material feels cheap","Improve durability","",226,"email_campaign"
"SUR0071","CUST0071","PROD021","2024-04-02 21:44:00","web","v2.1","partial","55-64","Female","Tulsa, OK","at_risk","Flow Y Bra","Women's Intimates","Sports Bras",52.0,"2024-03-11",4.0,"","",4.0,"",3.0,7.0,"",True,True,"Amazing fit! smooth texture and I've already ordered more.","Perfect fit and feel","","","",94,"website_popup"
"SUR0072","CUST0072","PROD022","2024-09-27 14:10:00","web","v2.1","abandoned","25-34","Non-binary","Dallas, TX","vip","Reversible Mat 5mm","Accessories","Yoga Equipment",88.0,"2024-08-30","","","","","","","","","","","","","","","",16,"app_notification"
"SUR0073","CUST0073","PROD023","2024-12-30 21:33:00","email","v2.1","partial","35-44","Female","Tampa, FL","returning","Align Ribbed High-Rise Pant 25""","Women's Bottoms","Leggings",138.0,"2024-12-03",4.0,"",3.0,"","","","",True,True,True,"These are amazing! So comfortable and perfect for gym sessions.","","","","",113,"email_campaign"
"SUR0074","CUST0074","PROD024","2024-06-20 20:09:00","sms","v2.1","partial","18-24","Male","Milwaukee, WI","returning","Hotty Hot Short 2.5""","Women's Bottoms","Shorts",68.0,"2024-05-22",2.0,1.0,2.0,2.0,"",2.0,1.0,False,False,"","Very disappointed. overpriced for quality and waste of money.","","","","",110,"post_purchase"
"SUR0075","CUST0075","PROD025","2024-09-20 17:15:00","email","v2.1","completed","25-34","Male","Las Vegas, NV","new","Engineered Warmth Half Zip","Men's Outerwear","Pullovers",128.0,"2024-09-14",4.0,3.0,4.0,4.0,3.0,5.0,10.0,True,True,True,"Love the breathable fabric! Perfect for casual outings.","Incredible fabric quality and fit","","Consider adding pockets","",104,"app_notification"
"SUR0076","CUST0076","PROD026","2024-11-21 14:23:00","mobile","v2.1","abandoned","18-24","Male","Phoenix, AZ","vip","ABC Jogger","Men's Bottoms","Joggers",128.0,"2024-10-27","","","","","","","","","","","","","","","",58,"post_purchase"
"SUR0077","CUST0077","PROD027","2024-06-19 10:02:00","sms","v2.1","abandoned","55-64","Male","Miami, FL","returning","Surge Hybrid Short 7""","Men's Bottoms","Shorts",78.0,"2024-05-29","","","","","","","","","","","","","","","",18,"app_notification"
"SUR0078","CUST0078","PROD028","2024-02-02 19:49:00","mobile","v2.1","completed","18-24","Male","Fort Worth, TX","new","Ebb to Street Tank","Women's Tops","Tank Tops",58.0,"2024-01-03",3.0,3.0,3.0,3.0,3.0,2.0,5.0,False,False,True,"Good for daily wear but could use more colors.","","Quality control issues","Improve fit and comfort","Won't purchase again",507,"website_popup"
"SUR0079","CUST0079","PROD029","2024-07-23 19:28:00","email","v2.1","abandoned","35-44","Female","Albuquerque, NM","at_risk","City Excursion Short 11""","Men's Bottoms","Shorts",88.0,"2024-06-27","","","","","","","","","","","","","","","",37,"website_popup"
"SUR0080","CUST0080","PROD030","2024-02-10 14:38:00","web","v2.1","completed","25-34","Non-binary","Denver, CO","vip","Reversible Mat 5mm","Accessories","Yoga Equipment",88.0,"2024-01-19",3.0,3.0,3.0,4.0,3.0,2.0,7.0,False,False,True,"They work well but could use more colors.","","Quality control issues","Improve durability","",341,"website_popup"
